,wl,FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8,FL9,FL10,FL11*,FL12,FL3.1,FL3.2,FL3.3,FL3.4,FL3.5,FL3.6,FL3.7,FL3.8,FL3.9,FL3.10,FL3.11,FL3.12,FL3.13,FL3.14,FL3.15
0,380,1.87,1.18,0.82,0.57,1.87,1.05,2.56,1.21,0.9,1.11,0.91,0.96,2.39,5.8,8.94,3.46,4.72,5.53,3.79,4.18,3.77,0.25,3.85,1.62,2.23,2.87,300.0
1,381,1.96461902392,1.23791433493,0.858763483254,0.594794717703,1.9626628134,1.09985554067,2.68377492823,1.26821833493,0.944169033493,1.04395023923,0.850558086124,0.894894239234,2.49112842105,6.02247219139,9.37712022967,3.54052088038,4.93439892823,5.74145094737,3.53003513876,3.91521232536,3.53272895694,0.190969569378,3.64884784689,1.70829795215,2.36304076555,3.02577400957,297.317955981
2,382,2.06215058373,1.29823617225,0.899704191388,0.621813511962,2.05817584689,1.15203039234,2.8100922488,1.32826817225,0.990223617225,0.980769837321,0.793905301435,0.832481837321,2.61665347368,6.27074066986,9.84389680383,3.63982308134,5.1635322488,5.96859031579,3.29440298565,3.67379513876,3.31843934928,0.138793492823,3.47124746411,1.81737883254,2.51760267943,3.20152903349,294.563245933
3,383,2.16538970335,1.36318384689,0.944753607656,0.653019100478,2.15926591388,1.20868409569,2.94088688995,1.39150384689,1.03958078469,0.923065033493,0.742567732057,0.774745033493,2.78691957895,6.56754962679,10.3661539522,3.77282748325,5.41970288995,6.22475705263,3.10353867943,3.47532876555,3.14581213397,0.100041339713,3.33660669856,1.9634445933,2.71136650718,3.41407908134,291.671425837
4,384,2.26593370335,1.42495984689,0.986065607656,0.680331100478,2.25776191388,1.26246009569,3.06576688995,1.44996784689,1.08409278469,0.863769033493,0.688999732057,0.711977033493,2.90618357895,6.82135762679,10.8377699522,3.85882748325,5.64707888995,6.45374905263,2.87161867943,3.23936076555,2.93202013397,0.0564413397129,3.16188669856,2.0580205933,2.85872650718,3.58839908134,288.797825837
5,385,2.36,1.48,1.02,0.7,2.35,1.31,3.18,1.5,1.12,0.8,0.63,0.64,2.93,6.99,11.21,3.86,5.82,6.63,2.56,2.93,2.64,-1.11022302463e-16,2.91,2.06,2.92,3.69,286.0
6,386,2.46179980861,1.54081332057,1.05867613397,0.724378258373,2.44978549282,1.36321967464,3.29829657416,1.55270132057,1.15872773206,0.744062086124,0.578319311005,0.572926086124,2.98393263158,7.1982864689,11.6270861627,3.87911295694,6.01258457416,6.82957642105,2.28482288995,2.65710139713,2.3809843445,-0.0406525550239,2.69360122488,2.08171238278,3.0067458756,3.81871992344,283.165152153
7,387,2.58455678469,1.61888298565,1.11319265072,0.76467154067,2.56990667943,1.43309213397,3.43322564593,1.61760298565,1.21014269856,0.70681584689,0.54536122488,0.52249584689,3.16269221053,7.54160627751,12.199069933,3.99331207656,6.28076164593,7.10996547368,2.1328837512,2.50275307177,2.23777538756,-0.0424061244019,2.59700937799,2.20647043062,3.20271311005,4.04987391388,280.391196172
8,388,2.71720888038,1.70492432536,1.17464658373,0.812058411483,2.69982193301,1.51064229665,3.57726935885,1.68887632536,1.26800283254,0.681560803828,0.523433569378,0.483496803828,3.42045389474,7.96952704306,12.8696948517,4.16651559809,6.59853335885,7.44472926316,2.06840030622,2.43470637321,2.17973121531,-0.01931184689,2.58769676555,2.39951823923,3.46908417225,4.34805795215,277.279020096
9,389,2.83922097608,1.78160566507,1.22642051675,0.850005282297,2.8198971866,1.57915245933,3.71539307177,1.75494966507,1.32002296651,0.654865760766,0.497505913876,0.444497760766,3.65917557895,8.37672780861,13.5203197703,4.32091911962,6.90950507177,7.77621305263,2.01031686124,2.37857967464,2.13472704306,0.00026243062201,2.59022415311,2.58296604785,3.72169523445,4.63672199043,273.222844019
