,wl,HP1,HP2,HP3,HP4,HP5
0,380,1.9,2.64,3.15,9.8,0.34
1,381,1.95908440191,2.63691980861,4.05176995215,10.3475976268,1.80730939713
2,382,2.0180754067,2.63764333014,4.94736283254,10.9358876938,3.26107888995
3,383,2.07717741627,2.64990637321,5.8294605933,11.6195718278,4.6755618756
4,384,2.13765741627,2.69109037321,6.6809485933,12.4047078278,5.9726978756
5,385,2.2,2.77,7.49,13.3,7.11
6,386,2.26348478469,2.8799215311,8.26163238278,14.3620349856,8.12632482297
7,387,2.32840038278,3.02048972249,8.99960643062,15.6337333589,9.03640742584
8,388,2.39193799043,3.17373695694,9.69139023923,17.057579866,9.87263701435
9,389,2.44987559809,3.31242419139,10.3186940478,18.5292663732,10.6817466029
10,390,2.5,3.42,10.87,19.97,11.49
11,391,2.544,3.498832,11.360464,21.432784,12.321344
12,392,2.58336,3.546256,11.81688,23.015648,13.239184
13,393,2.62032,3.57704,12.203376,24.484272,14.112144
14,394,2.65808,3.616144,12.461072,25.475136,14.724224
15,395,2.7,3.68,12.57,25.81,14.97
16,396,2.74368,3.764112,12.539376,25.510976,14.879776
17,397,2.78192,3.86552,12.333296,24.423152,14.385344
18,398,2.83536,3.989808,12.152016,23.256288,13.871792
19,399,2.936,4.143856,12.303696,23.126864,13.94064
20,400,3.1,4.33,12.97,24.69,14.95
21,401,3.32448,4.549216,14.119712,27.827248,16.844944
22,402,3.62016,4.808128,15.790016,32.688288,19.709312
23,403,3.93264,5.07888,17.76096,38.439088,23.12808
24,404,4.17632,5.318032,19.671344,43.714208,26.414208
25,405,4.3,5.5,21.29,47.66,29.14
26,406,4.3128,5.629744,22.669664,50.451504,31.382224
27,407,4.20544,5.70264,23.82144,52.040608,33.08448
28,408,4.03088,5.748736,24.768176,52.810192,34.499376
29,409,3.87712,5.817312,25.572032,53.455696,36.073712
30,410,3.8,5.94,26.29,54.44,38.08
31,411,3.788624,6.11016,26.861872,55.570912,40.408752
32,412,3.846,6.327136,27.163616,56.655312,43.010656
33,413,3.954576,6.587232,27.51944,58.071792,45.81632
34,414,4.080032,6.880848,28.436864,60.375312,48.702704
35,415,4.2,7.2,30.18,63.82,51.56
36,416,4.32232,7.54848,32.696304,68.356368,54.388064
37,417,4.450576,7.932832,36.12864,74.203952,57.21616
38,418,4.577952,8.328464,39.718576,80.150096,59.765136
39,419,4.696048,8.698096,42.269392,84.30512,61.629712
40,420,4.8,9.02,43.06,85.52,62.56
41,421,4.890016,9.300112,42.248,84.094912,62.61496
42,422,4.965232,9.538144,39.772976,80.078016,61.824576
43,423,5.032928,9.756576,36.228272,74.11784,60.282592
44,424,5.104944,9.991808,32.607888,67.320624,58.156448
45,425,5.19,10.27,29.58,60.54,55.61
46,426,5.285472,10.57968,27.004688,53.544432,52.62432
47,427,5.386608,10.900736,24.805712,45.8696,49.090432
48,428,5.508224,11.281792,23.248816,39.256608,45.606304
49,429,5.67232,11.796688,22.65728,36.290816,43.062896
50,430,5.89,12.48,23.18,38.37,41.98
51,431,6.154448,13.321616,24.842224,45.32752,42.306512
52,432,6.462624,14.344112,27.823856,57.870528,44.217424
53,433,6.79232,15.403168,31.320128,72.526336,46.921216
54,434,7.110016,16.274464,34.06488,83.762864,49.123328
