,wl,A,D65,C,D50,D55,D75,E
0,300,0.930483,0.0341,0,0.019,0.024,0.043,100
1,301,0.968782492,0.422760004,2.57E-05,0.239224459,0.261347032,0.641695602,100
2,302,1.007355912,0.817791613,9.00E-05,0.461344008,0.502049011,1.249597007,100
3,303,1.046546515,1.205201233,0.000218641,0.681696704,0.738870568,1.846729416,100
4,304,1.086736696,1.498406833,0.000218641,0.876031104,0.926620968,2.308727816,100
5,305,1.12821,1.6643,1.73E-18,1.035,1.048,2.588,100
6,306,1.171112149,1.773944929,-0.00018978,1.178841125,1.140186947,2.786783985,100
7,307,1.215616626,1.851303966,-0.000151502,1.314784666,1.215825516,2.939752383,100
8,308,1.261661765,2.022867021,1.54E-05,1.476746503,1.340535242,3.22785479,100
9,309,1.309054608,2.468049276,0.000102278,1.712580341,1.607324968,3.907629198,100
10,310,1.35769,3.2945,0,2.051,2.072,5.133,100
11,311,1.40768199,4.4960224,6.40E-05,2.4915872,2.7316736,6.8957104,100
12,312,1.459100923,6.10220304,0.000864,3.0444848,3.6022784,9.2391648,100
13,313,1.511973752,7.98200448,0.001744,3.6712704,4.6149632,11.9743072,100
14,314,1.566327701,9.91703072,0.001584,4.307904,5.654976,14.7860416,100
15,315,1.62219,11.7652,-1.39E-17,4.914,6.648,17.47,100
16,316,1.679587648,13.5483024,-0.002736,5.4964592,7.6056176,20.0578704,100
17,317,1.738547728,15.25559248,-0.007136,6.0503424,8.5217072,22.5332752,100
18,318,1.799097888,16.90766576,-0.009696,6.5944576,9.4104688,24.932168,100
19,319,1.861266048,18.55725504,-0.005056,7.1634208,10.3046784,27.3399888,100
20,320,1.92508,20.236,0.01,7.778,11.224,29.808,100
21,321,1.9905672,21.91107232,0.036464,8.4272848,12.1516832,32.2859232,100
22,322,2.057755248,23.54905216,0.077904,9.1042736,13.0725888,34.722336,100
23,323,2.126671696,25.184548,0.126544,9.8060944,13.9989264,37.1676608,100
24,324,2.197344064,26.87524064,0.169424,10.5279632,14.951048,39.7059376,100
25,325,2.2698,28.6447,0.2,11.263,15.936,42.369,100
26,326,2.34406728,30.48158896,0.220304,12.0101728,16.9492736,45.1393232,100
27,327,2.420173616,32.4082832,0.227024,12.7745184,18.0005424,48.0530128,100
28,328,2.498147232,34.27978864,0.240304,13.518816,19.0259472,50.8737504,100
29,329,2.578016608,35.87284608,0.291664,14.1877136,19.927664,53.238656,100
30,330,2.65981,37.0535,0.4,14.748,20.647,54.93,100
31,331,2.743555152,37.84587936,0.563328,15.2036096,21.1939664,55.9860576,100
32,332,2.829279872,38.23111504,0.787584,15.547296,21.5595632,56.3750544,100
33,333,2.917012032,38.33790272,1.04976,15.8155824,21.801488,56.3082032,100
34,334,3.006779472,38.3807352,1.311536,16.0693408,22.0159008,56.137528,100
35,335,3.09861,38.5011,1.55,16.348,22.266,56.095,100
36,336,3.19253128,38.67837472,1.76976,16.6454176,22.5424496,56.1466768,100
37,337,3.288570832,38.92038992,1.96608,16.9648304,22.849088,56.3057392,100
38,338,3.386756704,39.22636832,2.1628,17.2987712,23.1832384,56.5685456,100
39,339,3.487117136,39.57369472,2.39952,17.629952,23.5312688,56.894432,100
40,340,3.58968,39.9488,2.7,17.948,23.885,57.259,100
41,341,3.694472528,40.36806352,3.05928,18.259064,24.2523136,57.6894752,100
42,342,3.801521984,40.84075232,3.4816,18.5657312,24.6374624,58.2007616,100
43,343,3.91085528,41.35478912,3.94392,18.8696384,25.0364912,58.775128,100
44,344,4.022499056,41.89004512,4.40784,19.1735136,25.442808,59.3830224,100
45,345,4.13648,42.4302,4.85,19.479,25.851,60,100
46,346,4.252824896,42.97597184,5.27488,19.7857728,26.2612752,60.6269232,100
47,347,4.37156024,43.53088512,5.67832,20.0941504,26.6748832,61.269648,100
48,348,4.492713104,44.0645872,6.08016,20.40256,27.0812032,61.8787648,100
49,349,4.616310768,44.53356208,6.514,20.7083696,27.4649632,62.3831136,100
