,wl,R,G,B
0,380,82.2,67.2,1853.4
1,381,82.2,67.2,2196.95861489
2,382,82.2,67.2,2540.22415147
3,383,82.2,67.2,2882.94914013
4,384,82.2,67.2,3224.9
5,385,82.2,67.2,3565.77537672
6,386,82.2,67.2,3905.28492449
7,387,82.2,67.2,4242.91956524
8,388,82.2,67.2,4578.2
9,389,82.2,67.2,4910.98114014
10,390,82.2,67.2,5241.17617187
11,391,82.2,67.2,5568.5119751
12,392,82.2,67.2,5892.8
13,393,82.2,67.2,6214.13736572
14,394,82.2,67.2,6532.71992187
15,395,82.2,67.2,6848.96981201
16,396,82.2,67.2,7163.4
17,397,82.2,67.2,7476.34711914
18,398,82.2,67.2,7788.2078125
19,399,82.2,67.2,8100.01323242
20,400,82.2,67.2,8412.8
21,401,82.2,67.2,8726.90535889
22,402,82.2,67.2,9042.60429688
23,403,82.2,67.2,9360.78424072
24,404,82.2,67.2,9682.2
25,405,82.2,67.2,10006.9199097
26,406,82.2,67.2,10334.8425781
27,407,82.2,67.2,10665.2283813
28,408,82.2,67.2,10997.2
29,409,82.2,67.2,11330.4375244
30,410,82.2,67.2,11664.5492188
31,411,82.2,67.2,11998.4631592
32,412,82.2,67.2,12331.1
33,413,82.2,67.2,12661.9530884
34,414,82.2,67.2,12990.5566406
35,415,82.2,67.2,13316.3922729
36,416,82.2,67.2,13639.0
37,417,82.2,67.2,13958.0033203
38,418,82.2,67.2,14273.0867188
39,419,82.2,67.2,14583.9606445
40,420,82.2,67.2,14890.4
41,421,82.2,67.2,15192.2932983
42,422,82.2,67.2,15489.5988281
43,423,82.2,67.2,15782.2604614
44,424,82.2,67.2,16070.3
45,425,82.2,67.2,16353.8362427
46,426,82.2,67.2,16633.0613281
47,427,82.2,67.2,16908.6206421
48,428,82.2,67.2,17181.2
49,429,82.2,67.2,17450.8828857
50,430,82.2,67.2,17717.7203125
51,431,82.2,67.2,17983.0368408
52,432,82.2,67.2,18248.0
53,433,82.2,67.2,18512.2382812
54,434,82.2,67.2,18775.1070313
55,435,82.2,67.2,19035.9774414
56,436,82.2,67.2,19293.9
57,437,82.2,67.2,19547.7724731
58,438,82.2,67.2,19796.2121094
59,439,82.2,67.2,20035.9040405
60,440,82.2,67.2,20263.4
61,441,82.2,67.2,20477.0397339
62,442,82.2,67.2,20675.1980469
63,443,82.2,67.2,20855.447522
64,444,82.2,67.2,21015.5
65,445,82.2,67.2,21153.9099731
66,446,82.2,67.2,21269.4339844
67,447,82.2,67.2,21360.6544312
68,448,82.2,67.2,21426.4
69,449,82.2,67.2,21465.8415405
70,450,82.2,67.2,21478.3839844
71,451,82.2,67.2,21464.9025513
72,452,82.2,67.2,21426.4
73,453,82.2,67.2,21362.8831543
74,454,82.2,67.2,21274.4179688
75,455,82.2,67.2,21159.7534668
76,456,82.2,67.2,21017.8
77,457,82.2,67.2,20849.0412476
78,458,82.2,67.2,20654.2128906
79,459,82.2,67.2,20435.7408325
80,460,82.2,67.2,20196.2
81,461,82.2,67.3078125,19936.5193359
82,462,82.2,67.65,19657.6296875
83,463,82.2,67.7484375,19360.6101563
84,464,82.2,67.2,19046.5
85,465,82.2,66.3085205078,18716.3213867
86,466,82.2,65.50078125,18371.0515625
87,467,82.2,65.5134521484,18012.0514648
88,468,82.2,67.2,17640.6
89,469,82.2,71.1354492187,17257.2893433
90,470,82.2,77.9703125,16862.5683594
91,471,82.2,89.0155273437,16457.5184204
92,472,82.2,105.6,16043.0
93,473,82.2,128.473071289,15618.7506958
94,474,82.2,158.35234375,15184.2011719
95,475,82.2,196.01784668,14739.2994507
96,476,82.2,242.2,14283.6
97,477,82.2,297.548999023,13815.9354004
98,478,82.2,362.66171875,13334.759375
99,479,82.2,438.15871582,12835.5938965
100,480,82.2,524.6,12313.8
101,481,82.2,622.383959961,11768.5744019
102,482,82.2,731.83828125,11199.3839844
103,483,82.2,853.344262695,10599.2204712
104,484,82.2,987.2,9962.0
105,485,82.2,1133.493396,9289.51544189
106,486,82.2,1292.21835937,8585.06054688
107,487,82.2,1463.30889893,7852.45072021
108,488,82.2,1646.6,7097.2
